Event,Time,Date,Party,Agenda,Location
yoga activity,11am,the 1st,aunt,-,-
dinner,8pm,the 8th,Martha,-,-
meeting,10am,friday,HR,discuss the merger,100 conference room
dentist appointment,11 am,wednesday,-,-,-
optometrist appointment,3 pm,monday,-,-,-
lab appointment,11 am,thursday,-,-,-
yoga activity,10 am,thursday,-,-,-
dinner,5 pm,monday,-,-,-
swimming activity,3 pm,thursday,-,-,-
conference,7pm,thursday,executive team,discuss dress code,conference room 102
lab appointment,4pm,the 5th,father,-,-
football activity,4pm,the 10th,Marie,-,-
swimming activity,1pm,saturday,sister,-,-
lab appointment,11am,the 19th,Jeff,-,-
lab appointment,11am,the 10th,aunt,-,-
swimming activity,5pm,the 1st,Martha,-,-
optometrist appointment,5pm,the 14th,aunt,-,-
tennis activity,2 pm,thursday,-,-,-
dinner,5 pm,tuesday,-,-,-
conference,1 pm,tuesday,HR,discuss the merger,conference room 100
medicine,1 pm,thursday,-,-,-
meeting,1 pm,friday,HR,discuss the merger,conference room 50
dentist appointment,3 pm,thursday,-,-,-
lab appointment,6pm,the 4th,Jon,-,-
conference,2pm,sunday,boss,discuss dress code,100 conference room
dinner,7pm,sunday,mother,-,-
taking medicine,4pm,thursday,aunt,-,-
dentist appointment,6pm,the 8th,Jon,-,-
optometrist appointment,4pm,the 3rd,Martha,-,-
doctor appointment,10 am,tuesday,-,-,-
optometrist appointment,11 am,wednesday,-,-,-
dentist,1 pm,tuesday,-,-,-
yoga activity,3 pm,tuesday,-,-,-
dinner,5 pm,wednesday,-,-,-
tennis activity,7 pm,wednesday,-,-,-
doctor appointment,7pm,friday,Alex,-,-
dentist appointment,7pm,saturday,mother,-,-
tennis activity,9am,monday,aunt,-,-
meeting,9am,the 8th,sales team,onboard new members,conference room 102
conference,5pm,friday,executive team,go over quarterly report,conference room 100
football activity,6pm,the 4th,sister,-,-
dentist appointment,5pm,the 10th,Martha,-,-
meeting,1pm,the 13th,boss,discuss the merger,conference room 100
football activity,2pm,the 18th,Tom,-,-
tennis activity,2pm,the 2nd,brother,-,-
dentist appointment,11am,monday,Ana,-,-
doctor appointment,11am,the 5th,Martha,-,-
taking medicine,9am,the 2nd,Ana,-,-
football activity,6pm,the 17th,Jeff,-,-
dentist,7 pm,wednesday,-,-,-
doctor appointment,11 am,thursday,-,-,-
swimming activity,2 pm,wednesday,-,-,-
yoga activity,1 pm,friday,-,-,-
dentist appointment,2 pm,friday,-,-,-
lab appointment,3 pm,wednesday,-,-,-
football activity,6pm,the 1st,Marie,-,-
doctor appointment,3pm,friday,Martha,-,-
tennis activity,5pm,the 2nd,brother,-,-
football activity,11am,saturday,Jeff,-,-
meeting,3pm,the 14th,infrastructure team,discuss the company picnic,conference room 102
meeting,5pm,the 2nd,sales team,discuss dress code,conference room 102
lab appointment,5pm,the 12th,Jon,-,-
optometrist appointment,11am,monday,brother,-,-
optometrist appointment,3pm,the 17th,Ana,-,-
conference,5pm,monday,boss,go over budget,conference room 100
swimming activity,2pm,the 8th,Jeff,-,-
dentist appointment,10am,the 14th,Jeff,-,-
swimming activity,10am,the 8th,Martha,-,-
swimming activity,11am,sunday,Jeff,-,-
dentist appointment,5pm,thursday,Martha,-,-
lab appointment,1pm,the 16th,Ana,-,-
swimming activity,3 pm,friday,-,-,-
lab appointment,3 pm,monday,-,-,-
dentist,2 pm,thursday,-,-,-
football activity,1 pm,monday,-,-,-
dinner,5 pm,thursday,-,-,-
meeting,3 pm,monday,executive team,go over budget,100 conference room
dentist,10 am,wednesday,-,-,-
meeting,3 pm,monday,HR,discuss the company picnic,conference room 50
yoga activity,11 am,tuesday,-,-,-
doctor appointment,2 pm,thursday,-,-,-
lab appointment,11 am,friday,-,-,-
optometrist appointment,1 pm,friday,-,-,-
medicine,3 pm,tuesday,-,-,-
dinner,5 pm,thursday,-,-,-
dentist,10 am,monday,-,-,-
doctor appointment,3 pm,thursday,-,-,-
swimming activity,7 pm,monday,-,-,-
yoga activity,2 pm,wednesday,-,-,-
dinner,6pm,friday,Tom,-,-
football activity,9am,friday,Alex,-,-
dentist appointment,10am,tuesday,Tom,-,-
taking medicine,6pm,the 4th,father,-,-
lab appointment,10am,the 3rd,brother,-,-
doctor appointment,11am,thursday,Marie,-,-
dinner,5pm,the 9th,Tom,-,-
optometrist appointment,4pm,the 13th,Alex,-,-
optometrist appointment,7pm,the 20th,Jeff,-,-
football activity,5pm,the 7th,sister,-,-
swimming activity,11am,the 6th,Jon,-,-
dentist appointment,11am,the 18th,Alex,-,-
optometrist appointment,10am,thursday,sister,-,-
dinner,8pm,the 13th,Ana,-,-
tennis activity,11 am,tuesday,-,-,-
doctor appointment,2 pm,monday,-,-,-
yoga activity,1 pm,monday,-,-,-
medicine,3 pm,thursday,-,-,-
lab appointment,1 pm,friday,-,-,-
football activity,1 pm,thursday,-,-,-
meeting,1 pm,tuesday,infrastructure team,discuss the company picnic,conference room 50
dentist appointment,11 am,friday,-,-,-
optometrist appointment,11 am,wednesday,-,-,-
medicine,3 pm,friday,-,-,-
football activity,2 pm,friday,-,-,-
swimming activity,11 am,thursday,-,-,-
taking medicine,7pm,wednesday,brother,-,-
yoga activity,3pm,friday,brother,-,-
tennis activity,3pm,monday,father,-,-
doctor appointment,6pm,the 4th,sister,-,-
dinner,6pm,the 8th,father,-,-
optometrist appointment,10am,friday,Jon,-,-
dinner,5 pm,tuesday,-,-,-
doctor appointment,3 pm,thursday,-,-,-
yoga activity,7 pm,tuesday,-,-,-
optometrist appointment,10 am,tuesday,-,-,-
conference,11 am,monday,sales team,discuss the merger,conference room 100
lab appointment,1 pm,friday,-,-,-
football activity,9am,the 8th,sister,-,-
conference,6pm,tuesday,infrastructure team,onboard new members,100 conference room
dinner,7pm,the 14th,mother,-,-
taking medicine,10am,the 15th,sister,-,-
doctor appointment,7pm,the 6th,Jeff,-,-
dinner,7pm,the 15th,Tom,-,-
dinner,6pm,saturday,Ana,-,-
conference,5pm,sunday,vice president,discuss dress code,conference room 50
tennis activity,3pm,the 1st,father,-,-
lab appointment,2pm,tuesday,Marie,-,-
taking medicine,1pm,monday,father,-,-
optometrist appointment,9am,the 2nd,Jon,-,-
football activity,11am,sunday,mother,-,-
optometrist appointment,10am,the 6th,aunt,-,-
dinner,6pm,the 4th,Marie,-,-
taking medicine,10am,the 12th,Martha,-,-
lab appointment,5pm,the 10th,brother,-,-
doctor appointment,11am,sunday,Martha,-,-
football activity,10am,the 8th,brother,-,-
taking medicine,9am,the 13th,Alex,-,-
dentist appointment,4pm,friday,sister,-,-
meeting,4pm,friday,HR,discuss the merger,conference room 100
conference,10am,thursday,boss,discuss the company picnic,conference room 100
tennis activity,1pm,monday,father,-,-
optometrist appointment,2pm,the 8th,sister,-,-
taking medicine,4pm,friday,Jeff,-,-
dentist appointment,4pm,thursday,Alex,-,-
optometrist appointment,3pm,friday,brother,-,-
meeting,5pm,tuesday,infrastructure team,discuss dress code,conference room 102
meeting,5pm,friday,HR,discuss dress code,100 conference room
football activity,9am,friday,Jon,-,-
tennis activity,10am,the 5th,Martha,-,-
dinner,7pm,the 5th,Marie,-,-
meeting,6pm,the 3rd,HR,go over budget,conference room 50
conference,7pm,the 10th,HR,go over budget,100 conference room
optometrist appointment,6pm,friday,Tom,-,-
yoga activity,3 pm,wednesday,-,-,-
conference,7 pm,thursday,infrastructure team,discuss the company picnic,conference room 50
tennis activity,11 am,monday,-,-,-
swimming activity,10 am,tuesday,-,-,-
dentist appointment,11 am,monday,-,-,-
football activity,10 am,tuesday,-,-,-
football activity,1pm,monday,Marie,-,-
optometrist appointment,7pm,the 3rd,Marie,-,-
doctor appointment,1pm,wednesday,Martha,-,-
dentist appointment,6pm,the 8th,Alex,-,-
yoga activity,10am,sunday,brother,-,-
optometrist appointment,7pm,the 13th,brother,-,-
football activity,9am,the 8th,father,-,-
dinner,7pm,monday,mother,-,-
lab appointment,7pm,the 15th,brother,-,-
doctor appointment,7pm,the 16th,Marie,-,-
dentist appointment,10am,the 19th,Jon,-,-
doctor appointment,11am,the 4th,Ana,-,-
doctor appointment,2pm,the 6th,Marie,-,-
doctor appointment,7pm,the 3rd,sister,-,-
doctor appointment,11am,the 20th,father,-,-
tennis activity,11am,the 4th,Alex,-,-
conference,3 pm,monday,HR,discuss the company picnic,conference room 100
swimming activity,10 am,monday,-,-,-
football activity,1 pm,wednesday,-,-,-
doctor appointment,3 pm,thursday,-,-,-
lab appointment,2 pm,monday,-,-,-
dentist appointment,2 pm,friday,-,-,-
yoga activity,6pm,monday,brother,-,-
lab appointment,3pm,tuesday,sister,-,-
meeting,4pm,friday,HR,discuss the company picnic,conference room 50
dentist appointment,2pm,sunday,brother,-,-
doctor appointment,10am,saturday,Alex,-,-
optometrist appointment,10am,the 8th,father,-,-
lab appointment,11am,the 3rd,Jeff,-,-
doctor appointment,2pm,thursday,Marie,-,-
football activity,4pm,sunday,father,-,-
football activity,2pm,the 8th,Alex,-,-
lab appointment,10am,the 7th,sister,-,-
doctor appointment,5pm,friday,Tom,-,-
conference,4pm,tuesday,HR,go over budget,conference room 102
conference,7pm,the 17th,infrastructure team,discuss dress code,conference room 100
swimming activity,4pm,saturday,Alex,-,-
yoga activity,9am,friday,father,-,-
swimming activity,5pm,monday,mother,-,-
tennis activity,4pm,thursday,Martha,-,-
yoga activity,10am,the 13th,father,-,-
optometrist appointment,10am,thursday,aunt,-,-
conference,9am,friday,sales team,discuss the merger,conference room 100
dentist appointment,11am,wednesday,sister,-,-
football activity,1 pm,thursday,-,-,-
swimming activity,10 am,monday,-,-,-
optometrist appointment,10 am,thursday,-,-,-
doctor appointment,1 pm,friday,-,-,-
lab appointment,7 pm,tuesday,-,-,-
yoga activity,2 pm,monday,-,-,-
yoga activity,10 am,wednesday,-,-,-
meeting,7 pm,tuesday,executive team,discuss the company picnic,conference room 50
football activity,2 pm,monday,-,-,-
conference,3 pm,thursday,infrastructure team,discuss the merger,conference room 100
medicine,2 pm,monday,-,-,-
swimming activity,7 pm,thursday,-,-,-
doctor appointment,11 am,tuesday,-,-,-
football activity,3 pm,wednesday,-,-,-
swimming activity,2 pm,monday,-,-,-
optometrist appointment,3 pm,monday,-,-,-
lab appointment,1 pm,friday,-,-,-
meeting,3 pm,wednesday,executive team,discuss the merger,conference room 102
conference,10 am,wednesday,HR,discuss the merger,conference room 100
medicine,2 pm,monday,-,-,-
doctor appointment,1 pm,tuesday,-,-,-
football activity,1 pm,tuesday,-,-,-
lab appointment,7 pm,friday,-,-,-
swimming activity,10 am,friday,-,-,-
tennis activity,7pm,saturday,sister,-,-
football activity,2pm,thursday,brother,-,-
dentist appointment,3pm,the 8th,brother,-,-
doctor appointment,2pm,friday,mother,-,-
yoga activity,4pm,tuesday,Marie,-,-
swimming activity,10am,wednesday,Alex,-,-
tennis activity,11am,the 12th,Jeff,-,-
tennis activity,11am,the 12th,aunt,-,-
yoga activity,5pm,wednesday,Ana,-,-
dentist appointment,1pm,wednesday,Tom,-,-
yoga activity,11am,the 17th,Alex,-,-
conference,4pm,the 12th,management,discuss the merger,conference room 50
football activity,7pm,the 14th,father,-,-
tennis activity,1pm,the 8th,brother,-,-
lab appointment,10am,the 7th,sister,-,-
dinner,7pm,the 10th,Jeff,-,-
dinner,8pm,the 15th,Tom,-,-
conference,5pm,the 15th,executive team,go over quarterly report,conference room 100
doctor appointment,6pm,the 8th,father,-,-
dinner,7pm,the 1st,Alex,-,-
conference,1pm,wednesday,management,go over budget,conference room 102
optometrist appointment,3pm,the 15th,Jon,-,-
meeting,6pm,the 8th,executive team,sign the NDA,100 conference room
taking medicine,3pm,the 8th,Ana,-,-
optometrist appointment,7pm,saturday,Jon,-,-
dentist appointment,2pm,thursday,Ana,-,-
lab appointment,11am,the 4th,aunt,-,-
meeting,7pm,the 8th,infrastructure team,go over quarterly report,conference room 50
swimming activity,7pm,the 10th,brother,-,-
meeting,1pm,the 10th,HR,sign the NDA,conference room 102
swimming activity,2pm,the 18th,Marie,-,-
swimming activity,11am,the 20th,Tom,-,-
dinner,6pm,the 14th,Marie,-,-
dinner,8pm,the 2nd,Jeff,-,-
swimming activity,6pm,the 14th,Jon,-,-
swimming activity,4pm,sunday,mother,-,-
doctor appointment,5pm,the 8th,Jon,-,-
doctor appointment,9am,saturday,Jeff,-,-
lab appointment,10am,sunday,sister,-,-
optometrist appointment,5pm,sunday,Jon,-,-
tennis activity,4pm,thursday,Alex,-,-
dentist appointment,7pm,the 3rd,Martha,-,-
meeting,3pm,sunday,vice president,onboard new members,conference room 100
taking medicine,9am,sunday,mother,-,-
conference,10am,the 8th,sales team,onboard new members,conference room 50
dentist appointment,9am,wednesday,father,-,-
dinner,6pm,tuesday,father,-,-
taking medicine,5pm,thursday,father,-,-
optometrist appointment,1pm,the 5th,Alex,-,-
tennis activity,11am,tuesday,mother,-,-
dinner,8pm,the 10th,aunt,-,-
dentist appointment,5pm,wednesday,Tom,-,-
dinner,6pm,friday,Jeff,-,-
football activity,1pm,the 7th,aunt,-,-
yoga activity,11am,the 19th,Jeff,-,-
football activity,3pm,the 8th,brother,-,-
taking medicine,4pm,wednesday,aunt,-,-
optometrist appointment,3pm,tuesday,Tom,-,-
taking medicine,7pm,the 20th,Marie,-,-
optometrist appointment,10am,the 4th,sister,-,-
lab appointment,5pm,the 8th,Jon,-,-
meeting,11am,the 2nd,sales team,discuss dress code,conference room 100
football activity,4pm,the 17th,sister,-,-
optometrist appointment,2pm,the 11th,Alex,-,-
meeting,1pm,the 9th,infrastructure team,onboard new members,conference room 100
lab appointment,10am,the 18th,brother,-,-
conference,1 pm,tuesday,HR,go over budget,conference room 50
medicine,3 pm,monday,-,-,-
optometrist appointment,3 pm,thursday,-,-,-
meeting,1 pm,thursday,sales team,go over budget,100 conference room
dentist appointment,2 pm,tuesday,-,-,-
dentist,2 pm,thursday,-,-,-
football activity,7 pm,thursday,-,-,-
swimming activity,7 pm,tuesday,-,-,-
conference,2 pm,wednesday,infrastructure team,discuss the company picnic,conference room 100
medicine,1 pm,tuesday,-,-,-
meeting,1 pm,tuesday,executive team,discuss the company picnic,conference room 102
dentist,2 pm,tuesday,-,-,-
dentist appointment,10am,thursday,brother,-,-
lab appointment,3pm,sunday,Jon,-,-
tennis activity,3pm,the 8th,aunt,-,-
conference,3pm,the 3rd,infrastructure team,discuss the merger,100 conference room
football activity,6pm,wednesday,Marie,-,-
swimming activity,3pm,the 10th,mother,-,-
swimming activity,4pm,the 18th,father,-,-
meeting,4pm,the 13th,management,onboard new members,conference room 102
dinner,5pm,the 6th,Tom,-,-
yoga activity,3pm,wednesday,Ana,-,-
football activity,6pm,the 11th,Jon,-,-
doctor appointment,3pm,the 9th,mother,-,-
meeting,1pm,the 4th,infrastructure team,onboard new members,conference room 50
yoga activity,4pm,the 6th,Jeff,-,-
tennis activity,7pm,tuesday,brother,-,-
dentist appointment,11am,the 3rd,aunt,-,-
taking medicine,6pm,the 10th,father,-,-
doctor appointment,5pm,the 5th,Tom,-,-
conference,6pm,the 4th,infrastructure team,go over budget,100 conference room
swimming activity,4pm,the 13th,Martha,-,-
yoga activity,3pm,tuesday,Jon,-,-
dinner,7pm,the 13th,aunt,-,-
football activity,2pm,monday,Marie,-,-
taking medicine,7pm,thursday,aunt,-,-
conference,6pm,saturday,vice president,discuss the company picnic,conference room 100
swimming activity,10am,the 5th,Alex,-,-
doctor appointment,6pm,the 8th,Tom,-,-
swimming activity,6pm,the 3rd,Martha,-,-
conference,3pm,the 10th,boss,discuss the company picnic,conference room 100
dinner,6pm,the 4th,brother,-,-
tennis activity,7pm,sunday,Alex,-,-
taking medicine,11am,the 10th,aunt,-,-
doctor appointment,1 pm,tuesday,-,-,-
dentist,2 pm,friday,-,-,-
yoga activity,3 pm,monday,-,-,-
meeting,3 pm,friday,executive team,discuss the merger,conference room 102
conference,1 pm,monday,infrastructure team,discuss the company picnic,conference room 102
tennis activity,10 am,wednesday,-,-,-
dentist appointment,9am,friday,sister,-,-
football activity,1pm,the 2nd,father,-,-
doctor appointment,6pm,the 17th,sister,-,-
taking medicine,5pm,the 20th,mother,-,-
dentist appointment,9am,thursday,Marie,-,-
taking medicine,7pm,friday,Ana,-,-
dentist appointment,9am,friday,mother,-,-
taking medicine,7pm,the 19th,Jon,-,-
dentist appointment,6pm,the 1st,Jon,-,-
meeting,3pm,the 5th,vice president,discuss the company picnic,100 conference room
yoga activity,2pm,the 19th,Marie,-,-
yoga activity,6pm,the 16th,Tom,-,-
dentist appointment,10am,thursday,brother,-,-
dinner,8pm,the 12th,brother,-,-
meeting,7pm,tuesday,infrastructure team,onboard new members,conference room 100
lab appointment,11am,the 3rd,aunt,-,-
dinner,5pm,the 16th,aunt,-,-
dinner,7pm,the 15th,Jon,-,-
dinner,6pm,friday,father,-,-
conference,4pm,the 15th,sales team,discuss the company picnic,100 conference room
conference,4pm,the 10th,HR,discuss dress code,100 conference room
tennis activity,5pm,the 7th,Ana,-,-
conference,3pm,monday,executive team,discuss the merger,conference room 102
tennis activity,5pm,the 12th,aunt,-,-
taking medicine,2pm,the 5th,sister,-,-
football activity,2pm,the 13th,brother,-,-
football activity,1pm,the 3rd,Ana,-,-
meeting,1pm,the 7th,management,discuss the company picnic,conference room 102
dentist appointment,1pm,tuesday,brother,-,-
swimming activity,1pm,the 4th,father,-,-
meeting,4pm,monday,infrastructure team,go over budget,conference room 50
dentist appointment,7pm,friday,Martha,-,-
conference,7 pm,tuesday,HR,discuss the company picnic,conference room 102
medicine,7 pm,friday,-,-,-
swimming activity,7 pm,thursday,-,-,-
football activity,10 am,thursday,-,-,-
lab appointment,7 pm,monday,-,-,-
yoga activity,2 pm,tuesday,-,-,-
medicine,1 pm,monday,-,-,-
yoga activity,2 pm,monday,-,-,-
meeting,10 am,friday,executive team,discuss the company picnic,conference room 102
dentist appointment,11 am,monday,-,-,-
football activity,11 am,monday,-,-,-
lab appointment,11 am,friday,-,-,-
tennis activity,6pm,monday,mother,-,-
doctor appointment,7pm,the 11th,sister,-,-
optometrist appointment,7pm,the 14th,mother,-,-
football activity,4pm,the 4th,Ana,-,-
conference,2pm,the 12th,boss,discuss the merger,conference room 100
dinner,8pm,the 3rd,Jon,-,-
tennis activity,7pm,the 11th,Martha,-,-
taking medicine,9am,friday,mother,-,-
swimming activity,9am,tuesday,Martha,-,-
meeting,7pm,the 4th,infrastructure team,discuss dress code,conference room 50
swimming activity,2pm,saturday,Jon,-,-
optometrist appointment,11am,the 13th,aunt,-,-
conference,5pm,the 13th,boss,discuss the merger,conference room 100
meeting,2pm,the 8th,infrastructure team,go over budget,conference room 100
tennis activity,1pm,the 5th,Martha,-,-
swimming activity,2pm,the 3rd,father,-,-
football activity,6pm,friday,Jeff,-,-
taking medicine,9am,sunday,brother,-,-
football activity,1pm,friday,Alex,-,-
dentist appointment,11am,thursday,brother,-,-
swimming activity,7pm,the 10th,Alex,-,-
meeting,1pm,thursday,sales team,discuss the company picnic,conference room 50
taking medicine,2pm,the 13th,Tom,-,-
yoga activity,10am,saturday,Martha,-,-
optometrist appointment,10am,wednesday,Martha,-,-
dentist appointment,4pm,friday,aunt,-,-
swimming activity,2pm,thursday,Jon,-,-
football activity,1pm,the 5th,brother,-,-
conference,7pm,wednesday,vice president,discuss the company picnic,conference room 102
taking medicine,9am,the 4th,Jon,-,-
dinner,7pm,the 3rd,Alex,-,-
tennis activity,11am,the 8th,aunt,-,-
meeting,5pm,the 13th,boss,go over budget,conference room 102
football activity,10am,monday,Tom,-,-
dentist appointment,11am,the 5th,Alex,-,-
optometrist appointment,2pm,wednesday,Jon,-,-
meeting,4pm,tuesday,vice president,go over quarterly report,conference room 102
conference,6pm,thursday,management,discuss dress code,conference room 50
swimming activity,11am,tuesday,brother,-,-
dentist appointment,2pm,saturday,mother,-,-
yoga activity,9am,sunday,brother,-,-
optometrist appointment,6pm,saturday,mother,-,-
dentist appointment,7 pm,monday,-,-,-
medicine,10 am,tuesday,-,-,-
doctor appointment,10 am,wednesday,-,-,-
tennis activity,3 pm,monday,-,-,-
dinner,5 pm,friday,-,-,-
meeting,1 pm,monday,executive team,discuss the merger,conference room 102
conference,6pm,the 10th,boss,onboard new members,100 conference room
lab appointment,7pm,thursday,father,-,-
meeting,6pm,the 3rd,HR,onboard new members,conference room 50
yoga activity,4pm,saturday,Marie,-,-
swimming activity,9am,thursday,aunt,-,-
doctor appointment,9am,monday,Tom,-,-
conference,7pm,the 6th,boss,discuss the company picnic,conference room 50
swimming activity,5pm,thursday,sister,-,-
dentist appointment,1pm,wednesday,Ana,-,-
doctor appointment,11am,the 3rd,Jon,-,-
dentist appointment,1pm,the 9th,mother,-,-
doctor appointment,9am,the 3rd,Ana,-,-
doctor appointment,11am,the 11th,Tom,-,-
lab appointment,1pm,the 14th,brother,-,-
football activity,11 am,friday,-,-,-
tennis activity,10 am,monday,-,-,-
meeting,2 pm,monday,sales team,discuss the merger,conference room 100
yoga activity,2 pm,friday,-,-,-
doctor appointment,1 pm,tuesday,-,-,-
conference,3 pm,wednesday,sales team,discuss the merger,100 conference room
doctor appointment,11am,the 16th,Ana,-,-
optometrist appointment,7pm,saturday,Tom,-,-
dinner,5pm,the 1st,Alex,-,-
taking medicine,2pm,the 18th,father,-,-
meeting,10am,the 16th,management,onboard new members,conference room 102
optometrist appointment,5pm,the 12th,father,-,-
lab appointment,7pm,the 4th,sister,-,-
yoga activity,11am,the 4th,Ana,-,-
doctor appointment,9am,the 8th,father,-,-
dentist appointment,11am,the 8th,Jon,-,-
conference,1pm,the 13th,management,go over quarterly report,conference room 102
conference,5pm,tuesday,vice president,go over budget,conference room 102
conference,6pm,monday,management,discuss the merger,100 conference room
optometrist appointment,9am,the 4th,brother,-,-
optometrist appointment,2pm,tuesday,Alex,-,-
doctor appointment,3pm,the 5th,Tom,-,-
football activity,3 pm,friday,-,-,-
dentist appointment,2 pm,monday,-,-,-
yoga activity,2 pm,monday,-,-,-
doctor appointment,7 pm,wednesday,-,-,-
tennis activity,3 pm,tuesday,-,-,-
dentist,7 pm,friday,-,-,-
taking medicine,4pm,saturday,Marie,-,-
football activity,9am,the 6th,brother,-,-
taking medicine,11am,thursday,Jon,-,-
lab appointment,10am,wednesday,Jeff,-,-
lab appointment,2pm,the 11th,Ana,-,-
taking medicine,4pm,the 20th,mother,-,-
meeting,1pm,the 15th,vice president,go over quarterly report,conference room 102
yoga activity,4pm,friday,sister,-,-
dentist,11 am,wednesday,-,-,-
yoga activity,11 am,thursday,-,-,-
dinner,5 pm,tuesday,-,-,-
lab appointment,10 am,tuesday,-,-,-
optometrist appointment,10 am,monday,-,-,-
tennis activity,1 pm,wednesday,-,-,-
football activity,3pm,the 6th,Jeff,-,-
doctor appointment,3pm,the 19th,Ana,-,-
tennis activity,6pm,the 1st,Tom,-,-
yoga activity,6pm,the 7th,Alex,-,-
lab appointment,2pm,thursday,father,-,-
dentist appointment,3pm,the 17th,Marie,-,-
tennis activity,7pm,the 14th,brother,-,-
yoga activity,3pm,tuesday,Jeff,-,-
tennis activity,10 am,thursday,-,-,-
medicine,3 pm,friday,-,-,-
dinner,5 pm,wednesday,-,-,-
yoga activity,3 pm,thursday,-,-,-
lab appointment,3 pm,thursday,-,-,-
optometrist appointment,11 am,tuesday,-,-,-
doctor appointment,10 am,wednesday,-,-,-
football activity,2 pm,wednesday,-,-,-
dinner,5 pm,monday,-,-,-
swimming activity,3 pm,friday,-,-,-
lab appointment,2 pm,monday,-,-,-
dentist,11 am,thursday,-,-,-
dentist appointment,4pm,the 12th,father,-,-
yoga activity,7pm,the 18th,Jeff,-,-
swimming activity,6pm,the 6th,Martha,-,-
dentist appointment,4pm,the 18th,Ana,-,-
yoga activity,7pm,thursday,father,-,-
football activity,1pm,the 11th,mother,-,-
taking medicine,7pm,friday,Jeff,-,-
dentist appointment,7pm,wednesday,Jon,-,-
tennis activity,2 pm,monday,-,-,-
dentist,11 am,thursday,-,-,-
doctor appointment,11 am,friday,-,-,-
meeting,10 am,monday,infrastructure team,go over budget,conference room 102
swimming activity,3 pm,monday,-,-,-
football activity,11 am,monday,-,-,-
optometrist appointment,11am,the 13th,sister,-,-
yoga activity,10am,the 15th,Ana,-,-
lab appointment,1pm,the 12th,Jon,-,-
taking medicine,11am,the 19th,Alex,-,-
lab appointment,7pm,the 15th,aunt,-,-
taking medicine,9am,the 10th,Jon,-,-
swimming activity,2pm,the 13th,aunt,-,-
optometrist appointment,11am,the 8th,brother,-,-
dinner,7pm,the 1st,Alex,-,-
conference,9am,the 3rd,sales team,discuss the merger,conference room 100
conference,4pm,the 1st,vice president,discuss the merger,conference room 102
swimming activity,6pm,the 16th,sister,-,-
doctor appointment,11am,the 16th,sister,-,-
lab appointment,5pm,the 4th,sister,-,-
football activity,5pm,the 4th,aunt,-,-
lab appointment,11am,the 9th,mother,-,-
yoga activity,10am,the 20th,Marie,-,-
dinner,6pm,the 15th,sister,-,-
doctor appointment,11am,the 16th,Marie,-,-
